AWAY_NAME,HOME_NAME,AWAY_GamesWon,AWAY_GamesLost,HOME_GamesWon,HOME_GamesLost,HOMEvsAWAY_winRatio,AWAY_longestWinStreak,AWAY_longestLoseStreak,HOME_longestWinStreak,HOME_longestLoseStreak,AWAY_homeTurfAdvantage,HOME_homeTurfAdvantage,AWAY_nonconsecutiveWins,AWAY_nonconsecutiveLosts,HOME_nonconsecutiveWins,HOME_nonconsecutiveLosts,AWAY TEAM 2P %,AWAY TEAM 3P %,AWAY TEAM FT %,AWAY TEAM ALL throws %,HOME TEAM 2P %,HOME TEAM 3P %,HOME TEAM FT %,HOME TEAM ALL throws %,AWAY TEAM FOULS,HOME TEAM FOULS,AWAY TEAM TO,AWAY TEAM OR,AWAY TEAM DR,HOME TEAM TO,HOME TEAM OR,HOME TEAM DR,Q1 lead HOME vs AWAY,Q2 lead HOME vs AWAY,Q3 lead HOME vs AWAY,Q4 lead HOME vs AWAY,finalScoreDifferential,HOME_win
CLE,BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,True
MIL,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,True
POR,LAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,True
ATL,ORL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,False
DEN,UTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,True
IND,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,True
LAL,LAC,0,1,0,0,0,0,1,0,0,1.0,0,0,0,0,0,0.43,0.7,0.83,0.47,0,0,0,0,9,0,14,13,31,0,0,0,0,0,0,0,-38,False
MEM,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,True
MIA,NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,True
MIL,OKC,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.53,0.42,0.75,0.51,0,0,0,0,22,0,19,13,19,0,0,0,0,0,0,0,-11,False
